Start,End,Lobbyist,Client,Industry,ClientAddress
2014-01-07,2015-01-07,Amanda Morrow,"AvalonPark Texas, L.P.",Real Estate Investment/Development,"3680 Avalon Park East Boulevard, Suite 300
Orlando, Florida 32828
(28.51152695200045, -81.15417057599967)"
2014-01-07,2015-01-07,Lynn Carley,"AvalonPark Texas, L.P.",Real Estate Investment/Development,"3680 Avalon Park East Boulevard, Suite 300
Orlando, Florida 32828
(28.51152695200045, -81.15417057599967)"
2014-01-07,2015-01-07,Amanda Morrow,The Charter School Fund,Public School,"855 Broad Street #300
Boise, Ohio 83702
(43.627421849000484, -116.2062869239997)"
2014-01-07,2015-01-07,Amanda Morrow,"Rice, Robert",Real Estate Investment,"54 Rainey Street #1004
Austin, Texas 78701
(30.257502318000434, -97.73926268999969)"
2014-01-07,2015-01-07,Amanda Morrow,"Wilkerson, Eric",Real Estate Investment,"P.O. Box 50076
Austin, Texas 78763
(30.29689283500045, -97.76702644799968)"
2014-01-07,2015-01-07,Amanda Morrow,Riddell Family Limited Partnership,Real Estate Investment,"2028 East Ben White Blvd., Suite 508
Austin, Texas 78741
(30.21658755800047, -97.74330816099967)"
2014-01-07,2015-01-07,Amanda Morrow,Autoreturn,Real Estate Investment,"AP Billing, 375 Alabama Street, Suite 300
San Francisco, California 94110
(37.75279192300047, -122.41730717599972)"
2014-01-07,2015-01-07,Amanda Morrow,Goodstone LLC,Real Estate Investment,"401 Congress Ave., Ste. 1540
Austin, Texas 78701
(30.26637066000046, -97.74339106999969)"
2014-01-07,2015-01-07,Amanda Morrow,"Safeway, Inc.",Real Estate Investment,"Real Estate Law Office, 5918 Stoneridge Mall Rd.
Pleasanton, California 94588
(37.69273091200046, -121.89835709899972)"
2014-01-07,2015-01-07,Amanda Morrow,Circuit of the Americas LP,Sports and Special Events Productions,"301 Congess Avenue Suite 220
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Amanda Morrow,Amstar Group,Real Estate Investment/Development,"1050 17th Street, Suite 1200
Denver, Colorado 80265
(39.7485865970005, -104.99422913999967)"
2014-01-07,2015-01-07,Amanda Morrow,Aspen Properties,Real Estate Development,"7447 Bee Cave Road, Suite 150
Austin, Texas 78746
(30.30809388700044, -97.84317632199969)"
2014-01-07,2015-01-07,Amanda Morrow,Austin Baptist Church c/o Tom Stacy ,Religious Assembly/Education,"823 Congress Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Amanda Morrow,"Crescent 210 Barton Springs, LLC",Real Estate Investment/Development,"2101 Lakeway Boulevard, Suite 230
Lakeway, Texas 78734
(30.357573750000483, -97.9785034739997)"
2014-01-07,2015-01-07,Lynn Carley,"Crescent 210 Barton Springs, LLC",Real Estate Investment/Development,"2101 Lakeway Boulevard, Suite 230
Lakeway, Texas 78734
(30.357573750000483, -97.9785034739997)"
2014-01-07,2015-01-07,Lynn Carley,"CRV Shoreline, L.P.",Real Estate Investment/Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Amanda Morrow,"CRV Shoreline, L.P.",Real Estate Investment/Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Amanda Morrow,"CWS Capital Partners, LLC",Real Estate Development,"9606 North Mopac Expressway, Suite 500
Austin, Texas 78759
(30.38604814000047, -97.73592099899969)"
2014-01-07,2015-01-07,Lynn Carley,"CWS Capital Partners, LLC",Real Estate Development,"9606 North Mopac Expressway, Suite 500
Austin, Texas 78759
(30.38604814000047, -97.73592099899969)"
2014-01-07,2015-01-07,Lynn Carley,Cypress Realty V Limited Partnership c/o Cypress Real Estate Advisors,Real Estate Investment/Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Amanda Morrow,Cypress Realty V Limited Partnership c/o Cypress Real Estate Advisors,Real Estate Investment/Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Amanda Morrow,Austin Restaurant Association ,Restaurant Association,"11309 Pickfair Drive
Austin, Texas 78750
(30.442461567000464, -97.80806812299966)"
2014-01-07,2015-01-07,Amanda Morrow,"Capital Commercial Investments, Inc. ",Real Estate Investment/Development,"720 Brazos Street, Suite 900
Austin, Texas 78701
(30.269170605000454, -97.7409701359997)"
2014-01-07,2015-01-07,Amanda Morrow,EHB Companies,Real Estate Investment/Development,"9755 West Charleston Blvd
Las Vegas, Nevada 89117
(36.158874556000455, -115.30851806699968)"
2014-01-07,2015-01-07,Amanda Morrow,Flextronics,Real Estate/Investment,"300 Santana Row, 5th Floor
San Jose, California 95128
(37.32319086500047, -121.94774809799969)"
2014-01-07,2015-01-07,Amanda Morrow,Four Seasons Hotel,Hotel,"98 San Jacinto Boulevard
Austin, Texas 78701
(30.262322349000442, -97.74231207299965)"
2014-01-07,2015-01-07,Amanda Morrow,Robinson Ranch,Ranching,"4900 Howard Lane
Austin, Texas 78728
(30.446445155000447, -97.71385998899967)"
2014-01-07,2015-01-07,Amanda Morrow,The Dovetail Companies ,Real Estate Investment/Development,"1550 Timothy Road, Suite 201
Athens, Georgia 30606
(33.93375747200048, -83.43629209999966)"
2014-01-07,2015-01-07,Lynn Carley,The Dovetail Companies ,Real Estate Investment/Development,"1550 Timothy Road, Suite 201
Athens, Georgia 30606
(33.93375747200048, -83.43629209999966)"
2014-01-07,2015-01-07,Amanda Morrow,"183 BLW, LP",Real Estate Investment,"P.O. Box 9190
Austin, Texas 78766
(30.354472848000455, -97.73618994399965)"
2014-01-07,2015-01-07,Amanda Morrow,St. Andrew's Episcopal School,School,"1112 West 31st Street
Austin, Texas 78705
(30.30162579600045, -97.74843902299966)"
2014-01-07,2015-01-07,Amanda Morrow,The University of Texas System,University,"201 West 7th Street
Austin, Texas 78701
(30.269394458000477, -97.7440282819997)"
2014-01-07,2015-01-07,Amanda Morrow,W & G Partnership,Real Estate Development,"2700 Via Fortuna, Suite 140
Austin, Texas 78746
(30.25285417900045, -97.80036827599969)"
2014-01-07,2015-01-07,Amanda Morrow,Westbank Community Library District ,Real Estate Development,"1309 Westbank Drive
Austin, Texas 78746
(30.274323970000466, -97.81182388599967)"
2014-01-07,2015-01-07,Amanda Morrow,Lindy Moody,Private Property Owner,"3607 Pinnacle Road, Suite 5
Austin, Texas 78746
(30.27170879400046, -97.81110257999967)"
2014-01-07,2015-01-07,Amanda Morrow,Endeavor Real Estate Group,Real Estate Investment/Development,"221 West 6th Street, Suite 1300
Austin, Texas 78702
(30.26857366200045, -97.74469865799966)"
2014-01-07,2015-01-07,Lynn Carley,Endeavor Real Estate Group,Real Estate Investment/Development,"221 West 6th Street, Suite 1300
Austin, Texas 78702
(30.26857366200045, -97.74469865799966)"
2014-01-07,2015-01-07,Lynn Carley,"Orangestone Bluegrass, LLC",Real Estate Investment,"5828 Balcones Drive, Ste 101
Austin, Texas 78731
(30.340456663000452, -97.75515580999968)"
2014-01-07,2015-01-07,Lynn Carley,Hughes Capital Management,Real Estate Development,"1301 S. Capital of TX Highway, Suite A-300
Austin, Texas 78746
(30.27837820500048, -97.82003658199966)"
2014-01-07,2015-01-07,Lynn Carley,Austin Board of Realtors,Real Estate,"10900 Stonelake Blvd, Ste 100A
Austin, Texas 78759
(30.400246842000456, -97.7361519589997)"
2014-01-07,2015-01-07,Lynn Carley,"Shapiro, Bobby and Jim",Real Estate Investment,"1000 East 4th Street
Austin, Texas 78702
(30.26325684800048, -97.73320159499968)"
2014-01-07,2015-01-07,Lynn Carley,"McCullough, Todd",Real Estate Investment,"311 Westwood Terrace
Austin, Texas 78746
(30.281462408000436, -97.80372726099966)"
2014-01-07,2015-01-07,Lynn Carley,HPI Real Estate & Services Investment,Real Estate Investment,"3600 N. Capital of Texas Hwy, Bldg. B, Suite 250
Austin, Texas 78746
(30.334987060000458, -97.80662669599968)"
2014-01-07,2015-01-07,Lynn Carley,TR Vista Preserve,Real Estate Investment,"1600 N. Collins, Suite 1500
Richardson, Texas 75080
(32.970068556000456, -96.72347941599969)"
2014-01-07,2015-01-07,Lynn Carley,"Magellan Development Group, LLC",Real Estate Investment,"225 N. Columbus Drive, Suite 100
Chicago, Illinois 60601
(41.884323941000446, -87.62061813299965)"
2014-01-07,2015-01-07,Lynn Carley,"Wilkinson, Julia Matthews",Real Estate Investment,"c/o Osborne, Helman, Knebel &amp; DeLeary L 301 Congress Ave., Ste. 1910
Austin, Texas 78701
(30.269910351000476, -97.74363728299966)"
2014-01-07,2015-01-07,Lynn Carley,H-E-B ,Real Estate,"646 South Main Avenue
San Antonio, Texas 78204
(29.417754239000487, -98.49582040599967)"
2014-01-07,2015-01-07,Lynn Carley,"Nelson, Brad",Real Estate Investment,"905 Congress Avenue
Austin, Texas 78701
(30.271109483000487, -97.7416416969997)"
2014-01-07,2015-01-07,Lynn Carley,"CST Brands, Inc.",Real Estate Investment,"1 Valero Way, Bldg. D, Ste. 200
San Antonio, Texas 78249
(29.58928635400048, -98.60785962799969)"
2014-01-07,2015-01-07,Lynn Carley,"Capridge Partners, LLC",Real Estate Investment,"823 Congress Ave. #1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Lynn Carley,Majestic Realty,Real Estate Investment,"6836 Bee Caves Road, Suite 292
Austin, Texas 78746
(30.299531760000434, -97.8379697259997)"
2014-01-07,2015-01-07,Lynn Carley,"Cullen, John",Real Estate Investment,"1703 West 5th Street, Suite 800
Austin, Texas 78703
(30.27491760500044, -97.76498148999968)"
2014-01-07,2015-01-07,Lynn Carley,"The NRP Group, LLC",Real Estate Investment,"5309 Transportation Blvd.
Cleveland, Ohio 44125
(41.4156116260005, -81.61600761499966)"
2014-01-07,2015-01-07,Lynn Carley,The Charter School Fund,Public School,"855 Broad Street #300
Boise, Ohio 83702
(43.627421849000484, -116.2062869239997)"
2014-01-07,2015-01-07,Lynn Carley,"Rice, Robert",Real Estate Investment,"54 Rainey Street #1004
Austin, Texas 78701
(30.257502318000434, -97.73926268999969)"
2014-01-07,2015-01-07,Lynn Carley,"Wilkerson, Eric",Real Estate Investment,"P.O. Box 50076
Austin, Texas 78763
(30.29689283500045, -97.76702644799968)"
2014-01-07,2015-01-07,Lynn Carley,Riddell Family Limited Partnership,Real Estate Investment,"2028 East Ben White Blvd., Suite 508
Austin, Texas 78741
(30.21658755800047, -97.74330816099967)"
2014-01-07,2015-01-07,Lynn Carley,Autoreturn,Real Estate Investment,"AP Billing, 375 Alabama Street, Suite 300
San Francisco, California 94110
(37.75279192300047, -122.41730717599972)"
2014-01-07,2015-01-07,Amanda Morrow,The Gottesman Company,Real Estate Investment/Development,"600 Congress Avenue, Suite 400
Austin, Texas 78701
(30.268231368000443, -97.74280004999969)"
2014-01-07,2015-01-07,Lynn Carley,Goodstone LLC,Real Estate Investment,"401 Congress Ave., Ste. 1540
Austin, Texas 78701
(30.26637066000046, -97.74339106999969)"
2014-01-07,2015-01-07,Lynn Carley,The Gottesman Company,Real Estate Investment/Development,"600 Congress Avenue, Suite 400
Austin, Texas 78701
(30.268231368000443, -97.74280004999969)"
2014-01-07,2015-01-07,Lynn Carley,"Safeway, Inc.",Real Estate Investment,"Real Estate Law Office, 5918 Stoneridge Mall Rd.
Pleasanton, California 94588
(37.69273091200046, -121.89835709899972)"
2014-01-07,2015-01-07,Lynn Carley,Circuit of the Americas LP,Sports and Special Events Productions,"301 Congess Avenue Suite 220
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Lynn Carley,Amstar Group,Real Estate Investment/Development,"1050 17th Street, Suite 1200
Denver, Colorado 80265
(39.7485865970005, -104.99422913999967)"
2014-01-07,2015-01-07,Lynn Carley,Aspen Properties,Real Estate Development,"7447 Bee Cave Road, Suite 150
Austin, Texas 78746
(30.30809388700044, -97.84317632199969)"
2014-01-07,2015-01-07,Lynn Carley,Austin Baptist Church c/o Tom Stacy ,Religious Assembly/Education,"823 Congress Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Lynn Carley,Austin Restaurant Association ,Restaurant Association,"11309 Pickfair Drive
Austin, Texas 78750
(30.442461567000464, -97.80806812299966)"
2014-01-07,2015-01-07,Lynn Carley,"Capital Commercial Investments, Inc. ",Real Estate Investment/Development,"720 Brazos Street, Suite 900
Austin, Texas 78701
(30.269170605000454, -97.7409701359997)"
2014-01-07,2015-01-07,Amanda Morrow,"Cirrus Logic, Inc.",Real Estate Development,"2901 Via Fortuna
Austin, Texas 78746
(30.25111072800047, -97.80056133499966)"
2014-01-07,2015-01-07,Amanda Morrow,Google Inc.,Provides internet related products and services,"2350 Kerner Boulevard, Suite 250
San Rafael, California 94901
(37.94720506900046, -122.4886642509997)"
2014-01-07,2015-01-07,Amanda Morrow,Riverside Resources,Property Owner/Developer,"100 Congress Avenue, Suite 780
Austin, Texas 78701
(30.26395091200044, -97.7443303069997)"
2014-01-07,2015-01-07,Amanda Morrow,"Taylor Morrison of Texas, Inc.",Property Owner/Developer,"805 Las Cimas Parkway, Suite 350
Austin, Texas 78746
(30.29053616900046, -97.83036581699969)"
2014-01-07,2015-01-07,Amanda Morrow,Gables Residential ,Real Estate,"100 Congress Avenue, Suite 1800
Austin, Texas 78701
(30.26395091200044, -97.7443303069997)"
2014-01-07,2015-01-07,Amanda Morrow,Forestar (USA) Real Estate Group ,Land Development & Sales,"6300 Bee Cave Road Building 2, Suite 500
Austin, Texas 78746
(30.296447557000477, -97.83091419899966)"
2014-01-07,2015-01-07,Amanda Morrow,"Cypress VI Reit, Inc. ",Real Estate Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Amanda Morrow,"P&S Investments I, LLC",Real Estate Investment/ Development,"8208 Long Canyon
Austin, Texas 78730
(30.371567549000474, -97.81519589899966)"
2014-01-07,2015-01-07,Amanda Morrow,Ryan Street & Associates,Real Estate,"2141 Exposition Blvd., Ste B-140
Austin, Texas 78703
(30.295499105000488, -97.76893346699967)"
2014-01-07,2015-01-07,Amanda Morrow,Christopher Slover,Private Property Owner,"2011 Rutland Drive
Austin, Texas 78758
(30.38007516300047, -97.71485272199965)"
2014-01-07,2015-01-07,Lynn Carley,"183 BLW, LP",Real Estate Investment,"P.O. Box 9190
Austin, Texas 78766
(30.354472848000455, -97.73618994399965)"
2014-01-07,2015-01-07,Amanda Morrow,The Kucera Companies,Real Estate Investment/Development,"7200 North Mopac, Suite 450
Austin, Texas 78731
(30.354626939000468, -97.74807659399966)"
2014-01-07,2015-01-07,Lynn Carley,"Cypress VI Reit, Inc. ",Real Estate Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Lynn Carley,"P&S Investments I, LLC",Real Estate Investment/ Development,"8208 Long Canyon
Austin, Texas 78730
(30.371567549000474, -97.81519589899966)"
2014-01-07,2015-01-07,Amanda Morrow,Meredith Family  Revocable Trust,Real Estate Development,"248 Addie Roy Road, Suite C200
Austin, Texas 78746
(30.31060362000045, -97.84440106999966)"
2014-01-07,2015-01-07,Lynn Carley,Meredith Family  Revocable Trust,Real Estate Development,"248 Addie Roy Road, Suite C200
Austin, Texas 78746
(30.31060362000045, -97.84440106999966)"
2014-01-07,2015-01-07,Lynn Carley,EHB Companies,Real Estate Investment/Development,"9755 West Charleston Blvd
Las Vegas, Nevada 89117
(36.158874556000455, -115.30851806699968)"
2014-01-07,2015-01-07,Lynn Carley,Flextronics,Real Estate/Investment,"300 Santana Row, 5th Floor
San Jose, California 95128
(37.32319086500047, -121.94774809799969)"
2014-01-07,2015-01-07,Lynn Carley,Four Seasons Hotel,Hotel,"98 San Jacinto Boulevard
Austin, Texas 78701
(30.262322349000442, -97.74231207299965)"
2014-01-07,2015-01-07,Lynn Carley,North Austin MUD No. 1,Municipal Utility District,"9517 Old McNeil Rd
Austin, Texas 78758
(30.378726120000465, -97.72408993199969)"
2014-01-07,2015-01-07,Amanda Morrow,North Austin MUD No. 1,Municipal Utility District,"9517 Old McNeil Rd
Austin, Texas 78758
(30.378726120000465, -97.72408993199969)"
2014-01-07,2015-01-07,Amanda Morrow,Eric Reddehase,Real Estate Investment/Development,"715 Golf Crest Lane
Austin, Texas 78734
(30.364215919000458, -97.96389141299966)"
2014-01-07,2015-01-07,Lynn Carley,Lindy Moody,Private Property Owner,"3607 Pinnacle Road, Suite 5
Austin, Texas 78746
(30.27170879400046, -97.81110257999967)"
2014-01-07,2015-01-07,Lynn Carley,Robinson Ranch,Ranching,"4900 Howard Lane
Austin, Texas 78728
(30.446445155000447, -97.71385998899967)"
2014-01-07,2015-01-07,Lynn Carley,St. Andrew's Episcopal School,School,"1112 West 31st Street
Austin, Texas 78705
(30.30162579600045, -97.74843902299966)"
2014-01-07,2015-01-07,Amanda Morrow,T. Stacy & Associates,Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Lynn Carley,T. Stacy & Associates,Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Lynn Carley,The University of Texas System,University,"201 West 7th Street
Austin, Texas 78701
(30.269394458000477, -97.7440282819997)"
2014-01-07,2015-01-07,Lynn Carley,W & G Partnership,Real Estate Development,"2700 Via Fortuna, Suite 140
Austin, Texas 78746
(30.25285417900045, -97.80036827599969)"
2014-01-07,2015-01-07,Lynn Carley,"Trudy's Texas Star, Inc.",Restaurant,"8133 Mesa, Suite 206
Austin, Texas 78759
(30.37365329500045, -97.75584513599966)"
2014-01-07,2015-01-07,Amanda Morrow,"Trudy's Texas Star, Inc.",Restaurant,"8133 Mesa, Suite 206
Austin, Texas 78759
(30.37365329500045, -97.75584513599966)"
2014-01-07,2015-01-07,Lynn Carley,Westbank Community Library District ,Real Estate Development,"1309 Westbank Drive
Austin, Texas 78746
(30.274323970000466, -97.81182388599967)"
2014-01-07,2015-01-07,Lynn Carley,White Lodging Services Corp,Real Estate Development,"1000 East 80th Place, Suite 700 North
Merrillville, Indiana 46410
(41.47392784700048, -87.32984073299968)"
2014-01-07,2015-01-07,Amanda Morrow,White Lodging Services Corp,Real Estate Development,"1000 East 80th Place, Suite 700 North
Merrillville, Indiana 46410
(41.47392784700048, -87.32984073299968)"
2014-01-07,2015-01-07,Amanda Morrow,Brock Consulting Group,Real Estate Investment/Development,"P. O. Box 160340
Austin, Texas 78716
(30.273521050000454, -97.79924900799966)"
2014-01-07,2015-01-07,Lynn Carley,Concordia University,Education,"3400 North IH-35
Austin, Texas 78705
(30.292743355000482, -97.74027859399968)"
2014-01-07,2015-01-07,Lynn Carley,The Kucera Companies,Real Estate Investment/Development,"7200 North Mopac, Suite 450
Austin, Texas 78731
(30.354626939000468, -97.74807659399966)"
2014-01-07,2015-01-07,Lynn Carley,"Makar Properties, LLC.",Real Estate Investment/Development,"3809 Juniper Trace, Suite 203
Austin, Texas 78738
(30.30798370600047, -97.93439369299966)"
2014-01-07,2015-01-07,Amanda Morrow,Concordia University,Education,"3400 North IH-35
Austin, Texas 78705
(30.292743355000482, -97.74027859399968)"
2014-01-07,2015-01-07,Lynn Carley,KIPP Austin Public School,Public School,"8509 FM 969, Bldg 513
Austin, Texas 78757
(30.27703626900046, -97.6376552749997)"
2014-01-07,2015-01-07,Amanda Morrow,KIPP Austin Public School,Public School,"8509 FM 969, Bldg 513
Austin, Texas 78757
(30.27703626900046, -97.6376552749997)"
2014-01-07,2015-01-07,Amanda Morrow,"Makar Properties, LLC.",Real Estate Investment/Development,"3809 Juniper Trace, Suite 203
Austin, Texas 78738
(30.30798370600047, -97.93439369299966)"
2014-01-07,2015-01-07,Lynn Carley,Deborah & Gary Attal,Private Property Owner,"4306 Rosedale Avenue
Austin, Texas 78756
(30.31382758300049, -97.74378547799967)"
2014-01-07,2015-01-07,Amanda Morrow,"Walton Stacy Development Partners IV, LP",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Amanda Morrow,"Walton Stacy LF Land Partners, LP",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Amanda Morrow,"Walton Stacy Office Partners IV, L.P.",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Amanda Morrow,"Carma Texas, Incorporated ",Real Estate Investment/Development,"9737 Great Hills Trail, Suite 260
Austin, Texas 78759
(30.39442428500047, -97.75220899899966)"
2014-01-07,2015-01-07,Amanda Morrow,Tanglewood Forest Limited District c/o Pinnacle Texas Mgmt Services   ,Limited District,"7301 Ranch Road 620 North, Suite 155
Austin, Texas 78726
(30.366424019000476, -97.95095795599968)"
2014-01-07,2015-01-07,Lynn Carley,"Walton Stacy Development Partners IV, LP",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Lynn Carley,"Walton Stacy LF Land Partners, LP",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Lynn Carley,"Walton Stacy Office Partners IV, L.P.",Real Estate Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2014-01-07,2015-01-07,Amanda Morrow,Scott Sayers,Real Estate Investment/Development,"1800 Nueces
Austin, Texas 78701
(30.28134159700045, -97.74413014199968)"
2014-01-07,2015-01-07,Lynn Carley,Scott Sayers,Real Estate Investment/Development,"1800 Nueces
Austin, Texas 78701
(30.28134159700045, -97.74413014199968)"
2014-01-07,2015-01-07,Amanda Morrow,Cypress Real Estate Advisors,Real Estate Investment/Development,"301 Congress Avenue, Suite 550
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Lynn Carley,Cypress Real Estate Advisors,Real Estate Investment/Development,"301 Congress Avenue, Suite 550
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Lynn Carley,"Jewish Community Association of Austin, c/o Endeavor Real Estate Group",Real Estate Development,"221 West 6th Street, Suite 1300
Austin, Texas 78702
(30.26857366200045, -97.74469865799966)"
2014-01-07,2015-01-07,Lynn Carley,Jeffery C. Garvey,Private Property Owner/Real Estate Investment/Development,"3907 Balcones Drive
Austin, Texas 78731
(30.318476390000455, -97.7656295439997)"
2014-01-07,2015-01-07,Lynn Carley,Liz Lambert,Private Property Owner/Real Estate Investment/Development,"1316 South Congress
Austin, Texas 78704
(30.25055168600045, -97.7493794449997)"
2014-01-07,2015-01-07,Amanda Morrow,Jeffery C. Garvey,Private Property Owner/Real Estate Investment/Development,"3907 Balcones Drive
Austin, Texas 78731
(30.318476390000455, -97.7656295439997)"
2014-01-07,2015-01-07,Amanda Morrow,"Jewish Community Association of Austin, c/o Endeavor Real Estate Group",Real Estate Development,"221 West 6th Street, Suite 1300
Austin, Texas 78702
(30.26857366200045, -97.74469865799966)"
2014-01-07,2015-01-07,Amanda Morrow,Liz Lambert,Private Property Owner/Real Estate Investment/Development,"1316 South Congress
Austin, Texas 78704
(30.25055168600045, -97.7493794449997)"
2014-01-07,2015-01-07,Lynn Carley,Eric Reddehase,Real Estate Investment/Development,"715 Golf Crest Lane
Austin, Texas 78734
(30.364215919000458, -97.96389141299966)"
2014-01-07,2015-01-07,Lynn Carley,"Cypress Realty VI Limited Partnership, c/o Cypress Real Estate Advisors",Real Estate Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Lynn Carley,"Stubb's Austin Restaurant Company, LC c/o Reliable Construction Mgm Inc.",Restaurant,"5315B FM 1960 W No. 151
Houston, Texas 77069
(29.981196740000485, -95.5104414549997)"
2014-01-07,2015-01-07,Amanda Morrow,"Cypress Realty VI Limited Partnership, c/o Cypress Real Estate Advisors",Real Estate Development,"301 Congress Avenue, Suite 500
Austin, Texas 78701
(30.26545984900048, -97.74374165499967)"
2014-01-07,2015-01-07,Lynn Carley,The Brohn Group,Real Estate Investment/Development,"3121 Wild Canyon Loop
Austin, Texas 78730
(30.377523944000473, -97.90791503299965)"
2014-01-07,2015-01-07,Lynn Carley,REIT Management and Research LLC,Property Management,"Two Newton Place 255 Washington Street, Suite 300
Newton, Massachusetts 02458
(42.35460028200049, -71.18911878999967)"
2014-01-07,2015-01-07,Lynn Carley,REIT Management,Real Estate Developement,"Two Newton Place 255 Washington Street, Suite 300
Newton, Maine 02458
(42.35460028200049, -71.18911878999967)"
2014-01-07,2015-01-07,Lynn Carley,Radisson Hotel ,Hotel,"111 East Cesar Chavez at Congress
Austin, Texas 78701
(30.263153804000467, -97.74392760699965)"
2014-01-07,2015-01-07,Lynn Carley,Robert Schmidt,Private Property Owner,"3400 South Lamar Blvd
Austin, Texas 78704
(30.24079333600048, -97.78629749099969)"
2014-01-07,2015-01-07,Lynn Carley,"Cirrus Logic, Inc.",Real Estate Development,"2901 Via Fortuna
Austin, Texas 78746
(30.25111072800047, -97.80056133499966)"
2014-01-07,2015-01-07,Lynn Carley,Google Inc.,Provides internet related products and services,"2350 Kerner Boulevard, Suite 250
San Rafael, California 94901
(37.94720506900046, -122.4886642509997)"
2014-01-07,2015-01-07,Lynn Carley,Tierra Concepts,Real Estate Investment/Development,"8917 Old Lampass Trail #28
Austin, Texas 78750
(30.421193125000457, -97.7965971159997)"
2014-01-07,2015-01-07,Lynn Carley,"Taylor Morrison of Texas, Inc.",Property Owner/Developer,"805 Las Cimas Parkway, Suite 350
Austin, Texas 78746
(30.29053616900046, -97.83036581699969)"
2014-01-07,2015-01-07,Lynn Carley,Riverside Resources,Property Owner/Developer,"100 Congress Avenue, Suite 780
Austin, Texas 78701
(30.26395091200044, -97.7443303069997)"
2014-01-07,2015-01-07,Lynn Carley,Gables Residential ,Real Estate,"100 Congress Avenue, Suite 1800
Austin, Texas 78701
(30.26395091200044, -97.7443303069997)"
2014-01-07,2015-01-07,Lynn Carley,Forestar (USA) Real Estate Group ,Land Development & Sales,"6300 Bee Cave Road Building 2, Suite 500
Austin, Texas 78746
(30.296447557000477, -97.83091419899966)"
2014-01-07,2015-01-07,Lynn Carley,Ryan Street & Associates,Real Estate,"2141 Exposition Blvd., Ste B-140
Austin, Texas 78703
(30.295499105000488, -97.76893346699967)"
2014-01-07,2015-01-07,Lynn Carley,Austin Quality Schools Collaborative,Public School,"PO Box 163991
Austin, Texas 78716
(30.273521050000454, -97.79924900799966)"
2014-01-07,2015-01-07,Lynn Carley,Magnolia Montessori for all,Public School,"7302 Blinn Circle
Austin, Texas 78723
(30.322264133000488, -97.6769291119997)"
2014-01-07,2015-01-07,Amanda Morrow,Austin Quality Schools Collaborative,Public School,"PO Box 163991
Austin, Texas 78716
(30.273521050000454, -97.79924900799966)"
2014-01-07,2015-01-07,Amanda Morrow,Magnolia Montessori for all,Public School,"7302 Blinn Circle
Austin, Texas 78723
(30.322264133000488, -97.6769291119997)"
2014-01-07,2015-01-07,Amanda Morrow,Urban Outfitters,Real Estate,"5000 South Broad Street
Philadelphia, Pennsylvania 19112
(39.88993802600049, -75.17589250399965)"
